DATE,A,C
13/02/2015,0.005,0.0096
12/02/2015,-0.0011,0.0213
11/02/2015,0.0029,-0.0077
10/02/2015,0.0025,0.0176
09/02/2015,-0.0109,-0.019
06/02/2015,0.0003,-0.0028
05/02/2015,-0.01,-0.0059
04/02/2015,-0.0003,-0.0033
03/02/2015,0.0069,0.0257
02/02/2015,0.0045,-0.0009
30/01/2015,0.0042,-0.0044
29/01/2015,-0.0032,0.0056
28/01/2015,0.0055,-0.0081
27/01/2015,-0.002,-0.0053
26/01/2015,-0.0083,0.0115
23/01/2015,0.0061,0.0024
22/01/2015,0.002,0.0244
21/01/2015,0.0033,0.0164
20/01/2015,0.0033,0.0091
19/01/2015,0,0.0117
16/01/2015,-0.0043,0.0218
15/01/2015,0.0128,0.0236
14/01/2015,-0.0138,-0.0159
13/01/2015,-0.0053,0.0196
12/01/2015,0.0073,0.0095
09/01/2015,-0.0057,-0.0327
08/01/2015,0.0149,0.0369
07/01/2015,0.0046,-0.0011
06/01/2015,0.006,-0.0025
05/01/2015,-0.0088,-0.0492
02/01/2015,0.0076,0.0062
30/12/2014,-0.0067,-0.0062
29/12/2014,-0.0013,-0.0115
23/12/2014,0.0007,0.0146
22/12/2014,0.0054,0.0048
19/12/2014,0.0057,-0.004
18/12/2014,0.0185,0.0265
17/12/2014,-0.0125,-0.0054
16/12/2014,0.0057,0.0327
15/12/2014,0.0032,-0.0281
12/12/2014,-0.0095,-0.0313
11/12/2014,-0.0022,-0.0009
10/12/2014,0.0039,-0.0089
09/12/2014,-0.0125,-0.0281
08/12/2014,-0.0073,-0.0068
05/12/2014,0.0103,0.0341
04/12/2014,0.0019,-0.0277
03/12/2014,0.0026,0.01
02/12/2014,0.0052,0.0048
01/12/2014,-0.0078,-0.0164
28/11/2014,0.0004,-0.0043
27/11/2014,0.0019,0.0081
26/11/2014,0.0047,-0.0036
25/11/2014,-0.001,0.0042
24/11/2014,-0.0012,-0.0014
21/11/2014,0.0025,0.0388
20/11/2014,0.0012,-0.0088
19/11/2014,-0.0009,0.0014
18/11/2014,0.0004,0.0071
17/11/2014,-0.0099,0.0133
14/11/2014,0.0021,0.0097
13/11/2014,0.0057,0.0043
12/11/2014,-0.0047,-0.0287
11/11/2014,0.0013,-0.0002
